"Countries and regions","Population (Total)","Population (Under18)","Population (Under 5)","Annual population growth rate (2000-2020)","Annual population growth rate (2020-2030)","Annual number of births (thousands)","Total fertility (live births per woman)","Life expectancy at birth (1970)","Life expectancy at birth (2000)","Life expectancy at birth (2021)","Dependency ratio (total)","Dependency ratio (child)","Dependency ratio (old age)","Share of urban population (%)","Annual growth rate of urban population (2000-2020)","Annual growth rate of urban population (2020-2030)","Net migration rate (per 1,000 population)","Out-of-school rate: one year before primary entry age (Male)","Out-of-school rate: one year before primary entry age (Female)","Out-of-school rate: primary education (Male)","Out-of-school rate: primary education (Female)","Out-of-school rate: lower secondary education (Male)","Out-of-school rate: lower secondary education (Female)","Out-of-school rate: upper secondary education (Male)","Out-of-school rate: upper secondary education (Female)","Gini coefficient","GDP per capita"
"Maldives",521.4575,"131.649","38.013500000000001",2.85415944522097,-0.0310665656355881,7.337,1.6916,45.0679,70.8759,79.9182,"35.615000000000002","29.452999999999999","6.1619999999999999","41.101999999999997","4.6818600891859203","0.89818851082676698",2.283,"8.0408299999999997","5.3695000000000004","3.1670799999999999","0.72511999999999999","2.7302900000000001","14.79679","55.290950000000002","44.480589999999999","1.19","10626.5134"
"Mali",21904.983,"11904.463","4004.1725000000001",3.02731258301022,2.74719008486863,912.901,5.9564,32.5316,50.5393,58.9414,"99.325999999999993","94.468000000000004","4.8579999999999997","44.677","5.1096014518955197","4.1414290221152603",-1.014,"53.491439999999997","56.883150000000001","37.910679999999999","44.167839999999998","49.390549999999998","56.252220000000001","71.433059999999998","78.919449999999998","1.28","879.00801039999999"
"Malta",526.748,"82.028499999999994","23.542999999999999",1.2160497769304,0.48208997969033,4.664,1.1783,69.1233,77.58,83.7769,"47.061","19.315999999999999","27.745999999999999","94.81","1.3369922488381001","0.54424603401245097",19.955,"0","5.2326800000000002",NA,NA,"1.93618","1.20306","9.6977600000000006","6.8574999999999999","0.99","29737.24598"
"Marshall Islands",42.05,"16.2135","4.4169999999999998",-1.05886849136304,0.272191196652633,0.829,2.7288,58.5379,63.2748,65.2688,"59.868000000000002","53.048999999999999","6.819","78.162000000000006","-0.45856677539644303","0.64661842041874396",-44.231,"37.912089999999999","41.201720000000002","29.331009999999999","30.232030000000002","29.930250000000001","25.81072","45.731909999999999","40.981389999999998",NA,"3788.1635940000001"
"Mauritania",4614.974,"2252.4679999999998","694.68",2.43984529627701,2.35769512848668,153.242,4.3976,51.0376,61.0282,64.3636,"82.712000000000003","76.757000000000005","5.9550000000000001","56.133000000000003","4.2173833988986598","3.4894602921006501",-0.324,NA,NA,"24.984439999999999","21.24662","30.776019999999999","25.472049999999999","63.071170000000002","58.783670000000001","1.25","1679.4448729999999"
"Mauritius",1298.9145,"272.0095","66.396500000000003",0.310390882765538,0.0530596595493509,13.437,1.4105,60.8104,71.6366,73.5552,"40.71","23.411000000000001","17.298999999999999","40.774999999999999","9.2319983501800998E-2","0.292974101194445",-0.368,"6.7153999999999998","11.81775",NA,NA,"4.6610199999999997","2.09903","26.029949999999999","17.47775","1.59","11099.24028"
"Mexico",126705.138,"38144.237500000003","9892.5125000000007",1.20282474233023,0.595902943965719,1882.362,1.8223,60.6898,73.5692,70.2127,"49.447000000000003","37.292000000000002","12.156000000000001","81.016000000000005","1.5711489334800299","0.90259355791014595",-0.416,"1.8538300000000001","0",NA,NA,"8.8072999999999997","6.4444699999999999","28.676290000000002","24.566700000000001","2.6","9946.033829"
"Micronesia (Federated States of)",113.131,"41.902999999999999","11.362500000000001",0.0169357736786354,0.821105125703608,2.357,2.7114,61.0345,69.769,70.71,"57.676000000000002","48.401000000000003","9.2750000000000004","23.068000000000001","0.143820799534677","1.57321923212868",-5.597,"29.705400000000001","34.434780000000003","17.31298","16.014949999999999","15.10188","10.27919",NA,NA,"1.83","3568.2910160000001"
"Monaco",36.686,"5.5430000000000001","1.6445000000000001",0.612521868120148,-0.264812184347322,0.322,2.1109,73.3328,81.5659,85.9463,"95.221000000000004","25","70.221000000000004","100","0.61252186812014797","-0.26481218434732201",5.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,"185829.01800000001"
"Mongolia",3347.7825,"1220.0105000000001","379.98950000000002",1.40817421936741,1.14453257124192,71.668,2.8371,52.6783,62.8821,70.9754,"58.353000000000002","51.356000000000002","6.9969999999999999","68.784999999999997","2.2831323638418799","1.3996493550187901",0,"2.8954900000000001","4.9013900000000001","1.87574","3.25075","7.7888200000000003","7.2981999999999996","14.877370000000001","8.7446400000000004","1.27","4339.8432789999997"
"Montenegro",627.8585,"136.41749999999999","36.805",-0.0322674213255864,-0.106868575083067,6.965,1.6914,69.2757,73.9793,76.3426,"52.533999999999999","27.733000000000001","24.800999999999998","67.825999999999993","0.64473827400542905","0.33752504385663701",-0.161,"15.386649999999999","17.112760000000002","2.85189","2.6972399999999999","5.9575500000000003","6.2184100000000004","13.12744","10.23907","1.34","8910.4959340000005"
"Montserrat",4.417,"0.76500000000000001","0.19450000000000001",-0.630900871647995,-0.411180390678861,0.04,1.5735,64.3671,74.584,75.593,"43.947000000000003","19.244","24.702999999999999","9.1530000000000005","6.38906950947373","0.29474292516582601",-8.996,"19.354839999999999","0","14.522819999999999","15.178570000000001",NA,NA,NA,NA,NA,NA
"Morocco",37076.5845,"11778.819","3285.3009999999999",1.19361510443418,0.83684209148642,650.892,2.328,48.8073,66.7869,74.0419,"52.155000000000001","40.856999999999999","11.297000000000001","64.064999999999998","2.0267148182220902","1.54409510089846",-1.246,"24.140930000000001","30.13043","2.2540399999999998","2.5592899999999998","5.87188","8.5172500000000007","24.059529999999999","26.798210000000001","1.83","3204.0950029999999"
